userId itemId rate date
AEEYK2QCASVFEL6I3C67MV7V5QDQ B00OD7MO6E 5.0 2019-06-03
AHYWJIFBIQ7GMH77JNNBHPF2OKNA B00LN3LQKQ 5.0 2018-01-21
AFT3YKTXJXDUCFQ7ZRKGFGWZZURA B00MSQYX8Y 5.0 2015-03-09
AFDUI6U33T2PKCU2HZRODTHJS75A B00B2HOVK0 4.0 2017-12-08
AEUP4YGI7YSMKLAP6EBJKBUPMLHA B00RBGYGPG 5.0 2016-01-12
AERR5WTEXHT33DWECY6HRYRYFB3A B00NH136GE 4.0 2015-08-01
AHTL5BPOXJXY5K7OIOJRAFYC3FUQ B004D41ECW 5.0 2016-11-07
AGNM5ZDTICAKBNWUI2K2DOWT66WQ B007WTAJTO 5.0 2014-05-07
AE45EVCV73X3THD62LQI5E6CLJFQ B01GGKYD4Q 5.0 2017-02-07
AELJJ43JEPPPIHNUAMFWFC5XYJXQ B00DB21TCM 3.0 2015-02-11
AHZYELOZHO5LDS3UNTZMWMSDR2LQ B00B1862X4 4.0 2019-03-05
AHEA6OCBPPJRP42RZLM4WTK3FLWA B00J3KA8JG 5.0 2016-06-10
AHQCJORKJWURGLZ566FWQ3IW6YOA B00FAYL1YU 4.0 2017-03-29
AEYNK343XPUBW6OA2TUYU35LOZVQ B00WJVEUEK 4.0 2017-05-22
AHNPRIDUA4XRO2HVIY6YQX3YPY7A B01CDYB0QS 2.0 2019-06-17
AFAQFOZ5HVRCKBOGM3BLVELSX25A B00CHUFY2A 5.0 2015-03-28
AHJXJICVKTJOVTKTJE74EYFBGEDQ B00RCQKFKA 5.0 2015-08-01
AGDDO5HWY66BEIGXVQ7JHXHMPXRA B000O2KIMO 5.0 2015-05-24
AFBHIURXEL6TEJSK3I34KZN7OYMA B00J3KA8JG 5.0 2013-11-07
AGHLIGY63X42ZHCEQKLH6FLV2THA B00P0FO0Y2 5.0 2020-01-16
AF6NHNIOAZ3OO4GD5WBMQ6VQ6FDQ B00B2HOY4S 5.0 2020-04-06
AHY4BZJEEUFX4VIZ62JKGND76W4Q B00UYTU6Z6 4.0 2018-10-11
AGGOTAC77MWK5PB3EKKMR3L7P3NQ B00JIJUBAS 1.0 2018-05-03
AGZ67NOEAME2DLNRGRJ45MJ7SB5A B004RORMF6 5.0 2014-08-03
AH6AUUQLLDGJTHGOZV7LFEW7VOBQ B01CJ5TV8K 5.0 2018-10-02
AHTL5BPOXJXY5K7OIOJRAFYC3FUQ B00KKHAAQW 5.0 2016-11-05
AFU74MELJOEWMRLJWJB6RBCCVKVA B00B1862X4 5.0 2011-07-05
AEUHHTGTOJ2NNQLAO7LIC25BBXUQ B00S51XHUQ 5.0 2019-06-10
AF4P6XMOKSVPVUAUX6FXJKAKMO2Q B0096U26QQ 5.0 2015-10-25
AF2XWGUEJ6Q7H67O3ZWB6F7TO6GQ B001CQT0X4 5.0 2014-06-12
AHTGXVNS4QEQVOZJUOIESW6LANOQ B001C0DJL4 5.0 2011-12-30
AFHDPXHZFZ3YF5TQHV7YZAUD7Y6Q B00CBQ5X5S 5.0 2018-12-07
AFQC6CKJDE6NXYZ7D2OBOKT5VU3A B007J75TVM 5.0 2014-07-05
AEAHDBYZAJD4CTN3VKN5A2WWC4JQ B008ALA6DW 4.0 2016-10-18
AGYBT54IS5QWXV4MY7QMGHUKNL4Q B00SOL9ZH6 2.0 2016-03-01
AESHRSQTMGL24TVCLDN2DUA5YXVA B00C9EYVGY 5.0 2020-07-27
AGYQUKLZJUILOUBWXL7HS3EH5HKQ B01G3G3C7M 4.0 2016-06-26
AHYOO3GJ26TIR77LDGMEB5D7SDNQ B00C7JIBN0 5.0 2015-01-14
AGWLLRSI5ZOTNNB6TFMYVKV4UUHQ B00QV1F0TS 3.0 2017-04-17
AF5KTJVKGM4HKHVV6MULJVAHXFFQ B00S51XHUQ 5.0 2020-01-24
AGV3GN22PCPXGEO3YDZ3H5RA76EQ B006T9ZKAQ 5.0 2013-09-04
AGTYHFNHBMPVVCFR2UN77WZBZEIA B004W7HEMO 4.0 2019-08-19
AE6ONPCFS2KMAOY6NHJAM3DRGWXA B00KPRWB9G 4.0 2016-11-25
AFZ7VYTVNJCJGNUDGDU4OVYAUPKA B00B4QESVQ 4.0 2014-06-03
