userId itemId rate date
AEHPZWFYUBOYLUGIPZ63FPSB6ZBA B00DQGBYDC 5.0 2016-07-03
AHXANRKTITCHGAQH347TJ2YT5LGQ B00EXBUW7I 5.0 2015-12-09
AFREBRPOGBR5ZN6O5ODV43GT5DCA B00IMB47TY 5.0 2018-01-12
AGBXJV5FDLFYTALWN3SRHE6X5SHA B00OTJZNI2 1.0 2020-02-18
AFQDKTJWJWUMMWJIRMQJPMPIPQBQ B00RUZ059O 5.0 2015-08-16
AHDZWIWVGM56JRLBGSFPMV7SV65Q B00LLEN5FQ 5.0 2016-12-19
AHU4DWUQZI5PII3QSDS43HVMUSQA B019954Y2Q 5.0 2019-01-03
AEZE7U35FCQV4MNXEE2FGFUKDXNA B007BJHETS 5.0 2013-03-21
AHUUSNSZKJSBQDQ3CAQYKWTB4J6A B00ECEVFFO 5.0 2015-08-25
AH5VOYHOYGUTYF7MJWYI4CYV72TQ B00OTJZNI2 3.0 2017-11-07
AHI7SYI7K3ROJOPGSEVLNQP3SHTQ B00CKSWBB6 5.0 2014-09-25
AHTHIJF5UT2OL7KGD5MI7JFXAJHQ B0123ZAUAO 5.0 2019-12-28
AGBULIZBPKLMOXGBXWJFRCMSVJMA B00S51XM5Q 5.0 2020-02-25
AHDTENNRY3LGXORSJLL6BIXMV5HA B00S51XM5Q 5.0 2019-01-12
AFI6AHI3W72ZV766G73YQ4Y3EIIQ B001KELVS0 4.0 2013-05-31
AGQTFTWGYMYM4ATZQ5JBXNWVPIOA B004ABO7QI 5.0 2015-12-28
AGX5KDUTCSUX6UZ4IM2EZUU235GQ B00UYTU6Z6 3.0 2019-06-08
AH76XUV2NCMRS3MY5MOBY6OI7H6Q B00N771OEE 3.0 2019-03-13
AGOUQHPULUJIJA22LU6PXINAFD5Q B00KQCOV5C 1.0 2018-01-04
AFTBK5KZJONV7I56WPR3OPIE4MXA B00519BEQY 5.0 2018-02-20
AFPMO6FA2JDWO3QGQ5OBJL2XDJGA B01BFJDTW0 5.0 2020-05-23
AGAZTIVDMSMSEOQ6CKVRJWONDT5Q B00S51XHUQ 5.0 2019-03-10
AHSG7S4ADGOYRGBNX7GBLVNNJKVA B00OTJZNI2 5.0 2019-07-18
AFCXAVYKUQQQUDCJVQVS2ZWEVTEA B0006I1TRY 1.0 2015-01-10
AFNB6SXU2SSLY6KJIDAEZ3R2Q5EA B00S9Q9VS4 5.0 2016-03-05
AHSEVCZ276LASRWGXZ6RV3LJLW5Q B001APFB5S 5.0 2014-10-15
AFSD2A7IB7IFRUHRI76A66DSJLZQ B003LPTAYI 4.0 2014-07-12
AGMRICDOJ5I7N7AWZTI232XOFJZA B007JTKLEK 5.0 2013-01-03
AFY4YKROBVN7FX3C36O3OVJDGUDA B0002CPBWS 5.0 2011-07-23
AFBWTT6ZQNNTF7BJZ67RWUNGBTOA B0123ZAUAO 5.0 2019-09-14
AE6GZRNJJFE4FOFWZM6D6KD7MJAQ B00S51XHUQ 5.0 2016-01-26
AFDV3DURGFJ73DZLMOGFYIFDFJLA B00OTJZTZE 5.0 2020-09-11
AF54UFG62F44VUWZCX3HJAJ737JA B00S51XHUQ 4.0 2019-03-30
AHMR47VDYZ33VFW3ATW6EF4D7SQA B0000C73CQ 5.0 2016-10-05
AEGNOHU33OCNIZEVUU2SFVK2E7LA B001AGD1Q8 5.0 2014-12-05
AFGY4TRXB7RMPJP6OCKXJ3XBNY7A B00RM1EC1S 5.0 2016-02-02
AGBWARR4QXCG3OEQFNWIMYC7DV3A B00J3AX6R2 5.0 2014-10-20
AGO2MIJXXUFDF3QTVJXIA3A3FQCA B00006B7DA 4.0 2008-06-09
AGDF44CYC7FY6DVMKH4KZAKIUVOQ B004CAGDSW 5.0 2014-07-12
AG6ZX7HSASY4W76DFAMY4LOM3MVA B0123ZAUAO 5.0 2016-11-16
AF5XJMYB4SQR2X4XFSGWZBTI2ECQ B00NMTXYN6 4.0 2017-02-11
AHGLYBGGOMSU7COWGEVLLO7VYLQQ B00OTJZTZE 5.0 2020-01-27
AFN5Q6ELFU4VBNEONIACYHCIOJTA B001S2PPT0 4.0 2014-06-22
AHALW6MRIOXANKN3DXUH7JEZONIA B00OTJZNI2 5.0 2019-03-13
AH7JWU64PHMFCHGKCOIY4X6J236Q B005LFT3MA 5.0 2013-01-30
AE76X4GTQT3V2YN5NBPVXF7BHOZA B007BJHETS 5.0 2015-07-01
AGSFUA6XNQAE6CCUE6ALQ4VBDCPA B015E8K868 5.0 2018-02-15
AGODW5Z5PXAX3JDLJI4MX2M3PBXA B00LM4OMUW 5.0 2015-09-16
AEJUKRIIA36BWH3KOSAPIIUKMXRA B00RM1EC1S 5.0 2015-08-09
AFEK5VTEXPHQUNCIBSPHKL4VN3VA B00DJ1T92M 3.0 2019-05-05
AEQH7BUG5PIXG5VOOXCUSKT6XILQ B00B4GGW5Q 5.0 2016-05-31
AF2J7JVMTFCD65CBHJ5JYBXEQ2AQ B00M55BS36 5.0 2015-09-25
AG7VRS22Y4QBOSOOBBSXXI7UYM7A B00UVN2C8O 5.0 2017-10-09
AHAU2HPJ2G4G4PE44RR22J6NKABA B00S51XM5Q 5.0 2018-01-08
AEOOAHBQZVDJVDU5CEDWXF74M4CA B00BQ4F9ZA 5.0 2014-02-26
AH4OK4WAFGYODR7LPP3B6QXUNHEA B00S51XHUQ 5.0 2016-06-27
AGKZ5O3P2RQB5S7OLZHSUL7HKUVA B0123ZAUAO 5.0 2020-01-04
AFBW3UJZLIOS7ZO7G5BIBV3T3AFQ B00TGIVRYU 5.0 2017-04-30
AHG4E6YVUQI2AADXNZWWN2MFO47A B00GIGGS6A 5.0 2015-12-29
AHM36FPCIZ7AKCPFFEGPDIEYPOXQ B00OTJZNI2 2.0 2015-07-15
AFOHMVLMTK65J56DY2Y3SCVBZZVA B000NPKGGU 4.0 2018-07-12
AHGYIK6RFVN7TUROVQXVW555FMKQ B0123ZAUAO 5.0 2020-07-18
AFCDQSSGHOQGGQQHJTF3DGGWFFEA B007HISGRW 5.0 2014-07-29
AHNVNKJ4BZ53IFEK2W33V3OSJUBA B00GIY960C 5.0 2017-01-09
AHWRU7IUHBM2RQERKCNBONULRWWA B0000XMUWS 5.0 2018-05-20
AEPTFYF7HQCL64WD2ZA6IDDWJA3A B001APJZ50 5.0 2009-09-09
AFWPNKTEO3TLCNKSYHVFHF6FYJXQ B000FNFSPY 4.0 2015-01-02
AHWCIGKGXJFR2ABYHZOSF2DKJ4VQ B00P736UEU 5.0 2017-08-06
AHA2EQHJAXCWX4PKBSW4XE6XH6VA B00G9WHMCW 3.0 2020-06-16
AHFIGSBDR3NIP6ZWBK6QKJL5EDWA B009D79VH4 5.0 2016-04-14
AH22A2V2LOUSRQPND6J4GXVKRJ2A B019EXSSBG 4.0 2017-06-10
AHK3ATATT5IHU4BIQCAOMBAUWZ3Q B000BH5OUI 5.0 2016-05-02
AEMLXXQJEBV5UYTQVN3HKBUCBWUA B00HG7HO22 5.0 2014-05-23
AG7UWL4KPTZNESLTS4DZ4BFDQQYA B00OTJZTZE 5.0 2018-07-25
AHKLR6JU57ZKOBKPLECYL3NYKZTA B00LOLBBQQ 1.0 2017-07-18
AHRQW6X32AUGGENV4I3ETCFUCEKQ B00S51XM5Q 5.0 2016-10-27
AEYO5XLIKXHGSOL5ES2MHT25QB4A B0000C73CQ 5.0 2018-02-21
AEW3UOAKF53O63QVWPHRECG5K7QA B00UVN2C8O 5.0 2019-10-25
AHLB7XK4Q27I6PQGCFNM5XPFNJNA B00J29FF4G 4.0 2014-09-03
AEE4BLSDJGSQXIHJ57VFPAPQKBVQ B00017LSPI 5.0 2014-10-15
AHNUDFVOWAB32KCMMXQCW7GWJ46A B00UVN2C8O 5.0 2019-08-06
AF6MAEYLDPCVR6CMAKM73APQKOVA B017W13OR0 5.0 2016-12-03
AELESFI6GP6WSMYRVDGU5QQE2GZA B008O7N0W6 5.0 2015-02-04
AFJEYRAD7KHNOA3AGDA2QYTSOVIA B00N9S9Z0G 5.0 2017-08-14
AEMZ3C3HQE5ZOZNHV2AQWSLXBASQ B00OTJZTZE 5.0 2016-09-18
AHVD3U4RAIFMVQF2BYLGWJLTNYJA B01AHGIDE6 5.0 2018-04-07
AHQ5BG2YZXPR6GUJ7PDGBY7DYSQQ B00JAAXH1A 5.0 2018-12-30
AHITZA3FENZTFDC4AXYH5KREIICA B00VAGX6MW 5.0 2016-12-11
AE6KOL2AJFYPZ54BZQMQMNBOBGXQ B00UVN2C8O 5.0 2017-05-21
AFVFTKI5LSZYSRX7X3SIAUGJ4WDQ B00LLEN5FQ 5.0 2017-02-06
AH7XQBXKCFC3PS6FY4W5PUQRBIPQ B0123ZAQJE 5.0 2019-11-18
AELJGW5TU6NI3L4ABDU33B5SYTAQ B0123ZAQJE 5.0 2019-06-06
AF4VTBO5KMXP4MCZTP6ZCC4AJ6KQ B00J9OS7LW 5.0 2014-09-07
AHMWHOHYNOKVURXAHYY5PYVAM52A B0123ZAUAO 4.0 2017-11-23
AEFSWNV4TFVLXYCSFJWDK5HIYB7Q B001C0DJL4 1.0 2011-07-10
AG2QBQKZGNPF76IA5A54QMTAATKA B00P73B1E4 5.0 2015-08-22
AER3NVI6Y7H7CAQ42OY4FRYBY6DA B007WTAJTO 5.0 2016-11-12
AFHGXZYWALRNRYCDRX6S6ZFLAUVA B0042X9L6A 5.0 2014-12-23
AHXKN4S7TD2OUNICU7BSDZIHUGJA B001F7AJKI 5.0 2015-07-02
AEM2TVB47HXUVDEMJYSD5RZ3INZQ B0085DZRDE 5.0 2019-01-17
AHWQOEZVGMUE7UNIU6VK3WGE5UWQ B00768ZRCA 1.0 2012-04-12
AFWYPDYONEP7GY3JMDYFZT76TPVQ B0123ZAQJE 5.0 2020-01-31
AHMY63L5KCWKHCVF24TQHRNXO3YQ B00UVN2C8O 1.0 2020-07-20
AFUJBJIS53S25ZX5LZID2CQSGGEQ B0123ZAQJE 5.0 2017-11-10
AGKPN47JI3XYYM25RTDQDHTUBC2Q B001F7AJKI 5.0 2012-02-23
AER4XYHKCOKTFMNLZDNFAIDE37TA B00M55C0LK 5.0 2015-04-19
AEVAXJFZWG4XBM7FF4SI4WHYOF3A B0090CVJZ4 4.0 2013-07-27
AE3TOICQU3ST3TGSRQ2OHBWPRLVA B00542NVDW 3.0 2014-08-08
AFJRZE7V6YJSXUOIA3Z6YV4V6CPQ B00P0FO0Y2 5.0 2020-01-18
AH2R3TYLON7D4CECWSP565BMNPZQ B00OTJZNI2 5.0 2019-11-11
AEUYDKVNF6R2QHOE2YU7LIR45K6Q B003N8GVUY 5.0 2016-04-21
AEAWNZCSMKKR24LFTGXOKAJKWECQ B001196H3S 5.0 2016-03-20
AHZZKX5VXGQQ2X3AHQ2O7WK7N37A B0123ZAQJE 4.0 2017-08-07
AEPO4PSYPQ234J64MTJQXSR6S5MQ B0123ZAQJE 5.0 2018-10-02
AHZM7JIAP3QZLQNBQ5XPF2RZV3VA B019PI2WPS 4.0 2016-04-25
AHO6MP6ZUGYO5EIMJP56TIG35RWQ B001C0DJL4 5.0 2017-04-26
AEHOY6MNHJFTBBBMEZXXGPSPLQYA B00Z1NFLJG 5.0 2016-06-20
AEQK7L7FGIKFMFEMPZKAPCXFYLUQ B00TGIVRYU 5.0 2017-04-16
AEMUVWDXKFXC2VBU47PUPQFYKXHQ B019954Y2Q 5.0 2020-08-10
AG3TFBJDAVGC6EFYIDWMFUS64GIA B008TT7CXW 4.0 2016-02-14
AHAK7UENU5WHJL726EG22TECYJYQ B00MHGOGUK 5.0 2014-09-17
AG7HROMMRLXIMBYIJI7ZWM7H5BOA B013MC8G62 5.0 2016-03-04
AGPCGKPTRJS2YUDAUWQMNZX5ICNA B00S51XHUQ 4.0 2019-10-29
AE5EVFK76NAY2INLPXHXTZEEL6WQ B00L1LXOWS 5.0 2015-08-05
AE6OEPRA2KTJ6MWNOCDE2UVE6O3A B00UVN2C8O 5.0 2020-01-27
AG5LNKVI742IXQLZ5RFLDJ4GDCBQ B003N8GVUY 5.0 2014-11-09
AHZMDOUGIPMXFKOQDAIE5Q7NKAAA B00S51XHUQ 5.0 2018-05-11
AG33TPMZRNHZHIA6LDY4PH7W2J2Q B0123ZAQJE 5.0 2019-12-29
AEZGNY2HCBA3YOKQ73NJ2CSIIGAA B00LLEN5FQ 5.0 2016-12-19
AFTZDZ3QVJHQSQNDNKIQMY33AN6Q B0043T7FHK 5.0 2012-03-04
AGY2VGAOAP46IRG3LOPIXUSMFPVQ B0123ZAQJE 5.0 2017-07-18
AGRL7ADSYCNEDSVOQQBKKMP3DUBA B00P73B1E4 5.0 2016-03-30
AHBSGB4HVJZK3TCHXOWYAJ7HB6BA B001S2PPT0 5.0 2016-09-30
AGHSEEAATPW65XVYEQJ6QDP7HFWQ B004XY65WQ 3.0 2014-11-15
AGKRE6U4IHHNURMHMXXTAUVMX52Q B00UVN2C8O 4.0 2018-03-03
AFSRXUZ4Y6SJLV6ZUIPO2BR4GSFQ B00RM1EC1S 5.0 2019-01-03
AGWMJAYYEFP3KZMKAGCJ6T6RZNAA B00W4ZLZP8 5.0 2016-03-11
AGEVWTYAPJDCFGIIJ6ZBGQPFRMHQ B005LFT3MA 5.0 2015-07-23
AHPMXYWEBV4JBAUAGXIWS6DNCG2A B002P3KO7O 4.0 2014-01-29
AGIKBUFAJZJMQRKOMPNTH33K5UEA B0000C73CQ 2.0 2014-09-20
AETWKRWXFM2ZXQH363KHAHMB7PNA B00HYH7HXA 5.0 2017-05-21
AHIQBC7HIN6ZUNYTESFPHW3AAUTA B004W2JL2A 5.0 2013-08-20
AFGY4TRXB7RMPJP6OCKXJ3XBNY7A B00WTOHEBI 5.0 2016-02-02
AHOH2VQQ4Y2J6VH2Q4EPQDLJLLYQ B008ABOJKS 1.0 2015-04-07
AFWA5QSSESYDHMUZ47H772JIZNBQ B0123ZAUAO 5.0 2019-12-20
AGEMF2QAZ2PLF65UME5IL33TBR4A B0023WU6OI 4.0 2013-08-11
AHUSAX3IFQETGRCCHCPEI5ENFPZA B00S51XM5Q 5.0 2020-03-02
AEOTZPMOBD6AQZLE53G3O6R26SOQ B005FYNSUA 5.0 2015-07-29
AFXVXEKTGMXIRA25UWMIGD4XLKKQ B00F3F0GLU 5.0 2014-11-17
AHGYNNF4LW5OJPSPMJC5J6YBWWKA B008R6OPQE 5.0 2019-02-08
AGMFD6D4ZK5NWJHPP33SOYYBBYRQ B001S2PPT0 4.0 2012-11-06
AGQB3AZF4E4P2GCQCQDHX67273MQ B001F7AJKI 5.0 2020-01-01
AHF72QUCICY5RD2VN3KX6BWAV7IA B00OJ3UJ2S 5.0 2018-10-05
AFKVG3B4OZSVJY3ICB2QPJDLERPQ B00OJ5AV8I 5.0 2017-02-22
AHHVYRC4IDK5LG4ELZZVZRPKLXEA B00846UAZM 5.0 2018-06-08
AGJMPLIP6KJEBTI3RYBIVUUHYUKA B007BJHETS 5.0 2015-04-24
AHRQW6X32AUGGENV4I3ETCFUCEKQ B01BV1XB2K 5.0 2016-10-27
AHJJHNKGPSSPDKORTUX3Y3YZDNGA B0046Y5Z5G 5.0 2017-09-03
AFKFMTQUIF5BATLEXN3OCFOLFYJQ B00S51XM5Q 5.0 2020-02-07
AHZMDOUGIPMXFKOQDAIE5Q7NKAAA B00RUZ059O 5.0 2018-05-11
AFTO276Y7T2Z2LWD2K6EFJ3MEWDQ B00FP6BAA8 5.0 2014-04-21
AFFPS366CYBWI7QMCP7LVRBJQGCA B00S51XHUQ 5.0 2016-11-01
AEPJP35OMVGV3YGWNPCSQM6UXP5Q B00JPZTD68 3.0 2015-08-18
AETSRUVOU4YF663QEMJALM7SYQYA B00OTJZTZE 5.0 2016-11-11
AFKFRFEF4N7N2OMA4HSD2I6VY6RQ B00OTJZTZE 5.0 2015-06-23
AG52XAVO2SPTZVBQZF3X5ILZSEJQ B00OTJZNI2 4.0 2020-07-26
AGI5HMZGG2TTHOR44MQKS7RQPOWQ B00NSKA914 5.0 2016-10-26
AEI5NVLYTG4N6XTZAEKXZ3TPZLTQ B0123ZAQJE 5.0 2017-10-09
AGT7SF64JLZDOJKGQXZF2IG4ILCA B00UVN2C8O 5.0 2020-06-06
AFHGXZYWALRNRYCDRX6S6ZFLAUVA B003MTTJOY 5.0 2014-10-23
AGUEGHNNINIP6PCFHHOFZMJMZKRA B00NH136GE 5.0 2016-03-12
AGEMG5WQDZLNG7J7IBFH5JFWZX2Q B000KL5T9G 5.0 2018-11-02
AEAYAS2KID76QLJXUIQZGQXW4JPA B00LLEODCK 5.0 2016-05-22
AGSNRQ4WJXI6QRWMRVKNRWLCELNQ B0123ZAUAO 5.0 2017-08-19
AGRHLF2K7RUJGVABWJWPNLGCDUKQ B007136DNW 4.0 2014-01-08
AHRW26E3MPSPJQI7VP4EXCBN2YCA B00X741TKG 5.0 2016-01-24
AFU6A6RZKUGXU6776BTYECOFYTHQ B001C0DJL4 5.0 2014-09-18
AG2PATNBFRIIO4EJWJGLXITAY5MA B0134EU9YA 5.0 2018-12-28
AEWE4EB33Z5HUZQ2YMOYLYISEOLA B00KU70F5S 3.0 2019-04-29
AGRH5X2PJTNRHH2GR5GWUYEJ2LHA B0123ZAUAO 5.0 2017-11-02
AF5R344MWXZ5DOWOEGZXOC7X64BA B000PMGZDO 5.0 2011-07-06
AGEQBG63ZFQW2CPNRJOO34JUGEUQ B000NPKGGU 4.0 2018-02-09
AHCZGUYAEBY26VKSCGUH6R6ZDDSA B0043BF3AE 5.0 2012-08-01
AF35Q4ZP6IH6H4UATKYTPSKUT5TA B0123ZAQJE 5.0 2018-08-19
AHUFWMGQHJ7DWARGSY3COQUARQCQ B00DQGBYDC 5.0 2016-06-17
AFZANO5RDLVLQRFW6C7YWAQPD4PA B00KKHAAQW 5.0 2019-12-24
AGWVRGJ7SUF7EEW7DCYZRW6CUB2A B00OTJZNI2 5.0 2018-11-18
AFLBGAGFPVY7ZX4SSWMGZBDBFPXQ B000EBBJ6Y 5.0 2020-01-11
AFJCPM25XHNMF543BHIIJWGFDCZQ B0123ZAUAO 5.0 2016-07-05
AFJAFERIQHFRP4K7AGIFZ5JNSR4A B00OTJZNI2 5.0 2017-01-18
AF57PEUWAZEZ5WAVTBXOD4N2MPKA B00A0VCHQE 5.0 2012-07-12
AHUTISW66ND3G2URVFUCIEPFIQLA B00MX57AO4 5.0 2015-02-23
